,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,updated_github_id,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
89,i乐学助手,https://apps.apple.com/cn/app/i%E4%B9%90%E5%AD%A6%E5%8A%A9%E6%89%8B/id6468846337,BobH233/LexueSwiftUI,academic,,https://github.com/BobH233/LexueSwiftUI,GPL-3.0,2023-09-03 10:28:01.000,2025-10-13 10:26:03,2025-10-13 10:25:54,598.0,,1.0,1.0,,,2.0,9.0,2024-03-12 03:12:56.000,1.5,,,5.0,提供“乐学”服务的iOS端手机应用，具有“临近作业期限提醒”“小组件显示最近日程”“聚合全校消息通知”等增强功能。.,2.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,bitsrun.sh,https://github.com/BITNP/bitsrun.sh,BITNP/bitsrun.sh,srun,,https://github.com/BITNP/bitsrun.sh,MIT,2024-12-23 06:39:49.000,2024-12-28 14:24:47,2024-12-28 14:24:47,6.0,,,4.0,,,,8.0,2024-12-23 07:48:08.000,0.1,10.0,0.0,1.0,bash version of BITNP/bitsrun.,,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PyFMT,https://spaitlab.gitee.io/py-fmt/index.html,,apollo,['python'],,GPL-2.0,2021-11-20 22:03:10.000,2024-08-02 15:40:05,,,,6.0,10.0,,,,6.0,,,,,,Python基础数学工具箱 Python Fundamental Mathematics Toolbox.,,4,False,3.0,,,,,,,,,spaitlab/py-fmt,https://gitee.com/spaitlab/py-fmt,,,,,,,,,,,,,,,,,
92,bitsrunlogin,https://github.com/zhwang1694/BIT-Srun-AutoLogin,zhwang1694/BIT-Srun-AutoLogin,srun,['python'],https://github.com/zhwang1694/BIT-Srun-AutoLogin,GPL-3.0,2020-12-28 11:56:40.000,2020-12-28 12:01:56,2020-12-28 12:01:48,3.0,,1.0,1.0,,,,6.0,2020-12-28 11:38:26.000,0.1.0,,18.0,1.0,BIT network login based on terminal.,,4,False,3.0,,,bitsrunlogin,https://pypi.org/project/bitsrunlogin,2020-12-28 11:38:26.000,18.0,,,,,,,,,,,,,,,,,,,,,
93,oh_my_course,https://github.com/MichaelToLearn/oh_my_course,MichaelToLearn/oh_my_course,academic,['python'],https://github.com/MichaelToLearn/oh_my_course,Apache-2.0,2019-01-15 12:30:01.000,2019-01-15 12:49:29,2019-01-15 12:49:28,5.0,,,,,,,6.0,,,,,,【北理工】填一个excel表格就能抢课的python脚本。.,2.0,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,LexueAPI,https://github.com/BIT-BOBH/LexueAPI,BIT-BOBH/LexueAPI,academic,,https://github.com/BIT-BOBH/LexueAPI,,2023-08-29 08:27:55.000,2023-09-01 00:52:37,2023-09-01 00:52:31,22.0,,,,,,,6.0,,,,,,北京理工大学第三方乐学api实现.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,lexue_ddl,https://github.com/xiabee/lexue_ddl,xiabee/lexue_ddl,cal,['python'],https://github.com/xiabee/lexue_ddl,,2020-03-03 14:03:32.000,2020-12-03 13:59:56,,,,,,,1.0,,5.0,,,,,,view your own deadline of lexue.bit.edu.cn.,1.0,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,bitunion,https://github.com/finalion/bitunion,finalion/bitunion,org,,https://github.com/finalion/bitunion,,2013-06-06 11:28:25.000,2013-07-28 17:22:13,2013-07-28 17:22:01,15.0,,5.0,4.0,,,,5.0,,,,,,北理FTP联盟论坛android客户端.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Numerical_Analysis_Notes,https://github.com/hc495/Numerical_Analysis_Notes,hc495/Numerical_Analysis_Notes,learning,,https://github.com/hc495/Numerical_Analysis_Notes,MIT,2021-10-20 11:48:14.000,2021-12-08 13:15:45,2021-12-08 13:15:35,14.0,,2.0,1.0,,,,5.0,,,,,,北京理工大学计算机学院硕士课程数值分析笔记（2023）.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,bit-jwc-v1,https://github.com/Freeza91/bit-jwc-v1,Freeza91/bit-jwc-v1,academic,,https://github.com/Freeza91/bit-jwc-v1,,2014-11-06 13:43:18.000,2014-12-22 07:28:41,2014-12-22 07:28:34,69.0,,,4.0,,,,3.0,,,,,,教务处数据、微信交互、登录北理在线、课表简单排序。.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,BUApp,http://out.bitunion.org/,wuhao-ouyang/BUApp,org,,https://github.com/wuhao-ouyang/BUApp,,2014-02-11 18:01:22.000,2019-12-18 00:06:45,2019-11-25 22:59:02,114.0,,2.0,3.0,1.0,1.0,4.0,3.0,,,,,,北理FTP联盟android客户端.,3.0,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
