,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,dependent_project_count,github_dependent_project_count,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
30,MIPS 指令集 CPU 设计,https://github.com/bit-mips/bitmips_experiments,bit-mips/bitmips_experiments,exp,"['asm', 'hdl']",https://github.com/bit-mips/bitmips_experiments,,2019-11-11 12:08:37.000,2020-09-23 06:54:12,2020-09-23 06:53:48,31.0,,8.0,3.0,2.0,,,34.0,,,,,,北京理工大学 MIPS 指令集 CPU 设计系列教学实验.,4.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PySPT,https://spaitlab.gitee.io/py-spt/index.html,,apollo,['python'],,MIT,2022-05-08 18:43:27.000,2024-08-15 17:05:07,,,,22.0,12.0,,,,17.0,,,,,,Python信号处理工具箱 Python Signal Processing Toolbox.,,6,True,2.0,,,,,,,,,spaitlab/py-spt,https://gitee.com/spaitlab/py-spt,,,,,,,,,,,,,,,,,
32,图书馆座位预约系统辅助工具,https://github.com/DefJia/Auto_Reservation_System_BE,DefJia/Auto_Reservation_System_BE,cal,['python'],https://github.com/DefJia/Auto_Reservation_System_BE,Apache-2.0,2018-10-13 17:14:21.000,2021-12-01 11:47:57,2021-12-01 11:47:45,61.0,,8.0,2.0,1.0,3.0,8.0,17.0,,,,,,图书馆座位预约系统辅助工具 An auxiliary tool for booking seats in Library Seat Reservation System.,3.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BIT_Automatic_praise_program,https://github.com/sycapple/BIT_Automatic_praise_program,sycapple/BIT_Automatic_praise_program,academic,,https://github.com/sycapple/BIT_Automatic_praise_program,,2024-01-03 11:25:15.000,2024-12-30 11:36:12,2024-12-30 11:33:24,19.0,4.0,2.0,1.0,,1.0,1.0,15.0,2024-12-30 11:36:12.000,0.2.1,347.0,28.0,8.0,“北理工全自动好评系统”，可全部好评或选择想要差评的老师。.,,6,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,网协主页,https://www.bitnp.net/,BITNP/bitnp-website,org,['web'],https://github.com/BITNP/bitnp-website,,2022-08-12 09:16:11.000,2025-01-12 06:47:18,2025-01-12 06:47:11,177.0,2.0,5.0,5.0,7.0,2.0,4.0,12.0,,,,,,The website of Net Pioneer Association of BIT.,13.0,6,True,1.0,-2.0,,,,,,,,iruhh/bitnp-website,https://gitee.com/iruhh/bitnp-website,,,,,,,,,,,,,,,,,
35,xioneko/延河课堂视频下载,https://greasyfork.org/scripts/496320-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD,xioneko/yanhekt-downloader,academic,,https://github.com/xioneko/yanhekt-downloader,MIT,2024-05-28 09:37:10.000,2024-08-13 13:06:04,2024-08-13 13:01:20,12.0,,1.0,1.0,2.0,1.0,2.0,10.0,2024-08-13 13:01:34.000,1.0.2,755.0,94.0,3.0,一个开箱即用的延河课堂视频下载脚本，用户界面友好，傻瓜式操作.,2.0,6,True,1.0,,,,,,,,,,,,,,,,,,,,,,496320.0,https://greasyfork.org/scripts/496320,https://update.greasyfork.org/scripts/496320/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD.user.js,75.0,5.0,
36,BIT-Report-LaTeX,https://www.overleaf.com/latex/templates/beijing-institute-of-technology-report-template/szxqnwxtbcrb,CharlieLeee/BIT-Report-LaTeX,template,['latex'],https://github.com/CharlieLeee/BIT-Report-LaTeX,MIT,2020-05-29 04:07:15.000,2020-11-19 11:54:17,2020-11-19 11:53:55,29.0,,1.0,,,1.0,,8.0,2020-10-18 12:00:40.000,1.0,,,1.0,English and Chinese LaTeX template for reports/projects/proposal at Beijing Institute of Technology.,,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bon-for-Mac,https://github.com/Chriskuei/Bon-for-Mac,Chriskuei/Bon-for-Mac,srun,,https://github.com/Chriskuei/Bon-for-Mac,MIT,2016-05-27 04:08:07.000,2017-11-15 05:37:19,2017-11-15 05:37:14,20.0,,2.0,3.0,,,,5.0,2017-11-15 05:34:04.000,0.5.2,48.0,0.0,4.0,The elegant network client for BIT.,,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,bit-srun-cli,https://github.com/fangli-li/bit-srun-cli,fangli-li/bit-srun-cli,srun,['python'],https://github.com/fangli-li/bit-srun-cli,MIT,2020-11-14 16:49:11.000,2020-11-30 21:12:06,2020-11-15 18:57:03,4.0,,1.0,2.0,,,,4.0,2020-11-30 21:12:06.000,0.2.2,,125.0,4.0,"北理工校园网登录客户端,使用pip安装.",2.0,6,False,2.0,,2.0,2.0,,srun-bit,https://pypi.org/project/srun-bit,2020-11-30 21:12:06.000,125.0,,,,,,,,,,,,,,,,,,,
39,BIT睿信空间预约,https://bitrxc.com,bitrxc/bitrxc-server,cal,['web'],https://github.com/bitrxc/bitrxc-server,AGPL-3.0,2021-01-28 01:55:52.000,2022-07-27 22:42:51,2022-04-14 12:42:57,255.0,,5.0,1.0,38.0,,,3.0,2021-04-30 01:18:04.000,beta-1.1.1,,,1.0,Server of Management System of BIT Ruixin Community.,6.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bus Interrogation Tunnel,https://github.com/YDX-2147483647/bus-interrogation-tunnel,YDX-2147483647/bus-interrogation-tunnel,cal,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57.000,2024-03-06 09:34:41,2024-03-06 09:34:41,11.0,,,1.0,,,,2.0,2023-03-14 08:51:31.753,0.1.0,,64.0,1.0,BIT 班车查询接口。（bitbus）🚌.,,6,True,2.0,,3.0,3.0,,bus-interrogation-tunnel,https://pypi.org/project/bus-interrogation-tunnel,2023-03-14 08:51:31.753,64.0,,,,,,,,,,,,,,,,,,,
