,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,dependent_project_count,github_dependent_project_count,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
94,I_NEED_COURSE,https://github.com/friskit-china/I_NEED_COURSE,friskit-china/I_NEED_COURSE,academic,['python'],https://github.com/friskit-china/I_NEED_COURSE,,2016-09-14 13:01:32.000,2016-09-14 13:01:57,2016-09-14 13:00:48,1.0,,6.0,1.0,,,,21.0,,,,,,北理工教务系统抢课工具.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,北京理工大学计算机学院视觉形象系统,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,BITCS1958/BITCS-Visual-image-recognition-system,org,,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,,2019-06-02 12:58:52.000,2019-06-03 14:54:45,2019-06-03 14:53:36,3.0,,8.0,1.0,,,,18.0,,,,,,北京理工大学计算机学院视觉形象系统.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,BIT_Second_Round_Exam,https://github.com/Sologala/BIT_Second_Round_Exam,Sologala/BIT_Second_Round_Exam,learning,,https://github.com/Sologala/BIT_Second_Round_Exam,,2019-02-20 08:57:00.000,2019-03-22 09:09:22,2019-03-22 09:09:14,25.0,,1.0,2.0,,,,15.0,,,,,,北京理工大学复试历年上机代码.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Beamer Template for Beijing Institute of Technology,https://www.overleaf.com/latex/templates/beamer-template-for-beijing-institute-of-technology/kvcxtftsbrrh,CharlieLeee/My_Beamer_Template,template,,https://github.com/CharlieLeee/My_Beamer_Template,,2020-09-17 07:52:41.000,2022-04-19 05:51:43,2022-04-19 05:51:27,7.0,,5.0,1.0,,,,14.0,,,,,,My Beamer Templates.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BITLOGIN,https://github.com/Touko2000/BITLOGIN,Touko2000/BITLOGIN,srun,['python'],https://github.com/Touko2000/BITLOGIN,,2021-05-11 13:42:53.000,2022-05-16 13:06:10,2022-05-16 13:06:10,6.0,,4.0,1.0,,,,11.0,,,,,,北理工服务器校园网登录.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,CTF暑期培训,https://gitee.com/Chorolop/bitnsc2021-summer,,exp,,,GPL-3.0,2021-10-04 15:35:00.000,2022-09-25 14:17:37,,,,3.0,1.0,,,,10.0,,,,,,北京理工大学 信息安全实验室 / 网络安全俱乐部 2021 年 暑期培训 课件.,,3,False,3.0,,,,,,,,,Chorolop/bitnsc2021-summer,https://gitee.com/Chorolop/bitnsc2021-summer,,,,,,,,,,,,,,,,,
100,Remaining-reminders-of-the-art-course,https://github.com/sycapple/Remaining-reminders-of-the-art-course,sycapple/Remaining-reminders-of-the-art-course,academic,,https://github.com/sycapple/Remaining-reminders-of-the-art-course,,2024-02-28 01:58:34.000,2024-05-20 06:26:42,2024-05-20 06:26:36,35.0,,,1.0,,,,10.0,,,,,,本项目是基于selenium4的一个爬虫项目，旨在帮助没能抽中艺术课等自己心仪课程的同学一个再次选择的机会。.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,bit-genshin,https://userstyles.world/style/11791/default-slug,xinyi-cherry/bit-genshin,edu-cn,,https://github.com/xinyi-cherry/bit-genshin,GPL-3.0,2023-08-29 15:42:11.000,2023-08-30 15:22:06,2023-08-30 15:22:06,13.0,,,1.0,,,4.0,9.0,,,,,,原神！启动！ 将你的BIT登录页面修改为原神样式！.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,lexue_ddl,https://github.com/xiabee/lexue_ddl,xiabee/lexue_ddl,cal,['python'],https://github.com/xiabee/lexue_ddl,,2020-03-03 14:03:32.000,2024-11-12 03:21:23,2024-11-12 03:20:31,29.0,1.0,1.0,1.0,8.0,,,7.0,,,,,,view your own deadline of lexue.bit.edu.cn.,3.0,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Beijing-Institute-of-Technology-University-Physics,https://github.com/EnjunDu/Beijing-Institute-of-Technology-University-Physics-I,EnjunDu/Beijing-Institute-of-Technology-University-Physics-I,learning,,https://github.com/EnjunDu/Beijing-Institute-of-Technology-University-Physics-I,,2024-06-15 08:07:18.249,2024-06-06 09:03:07,,,,,,,,,7.0,,,,,,北理大学物理上.,1.0,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,数字信号处理,https://gitee.com/spaitlab_0/Digital-Signal-Processing,,learning,['python'],,GPL-3.0,2021-12-23 23:17:25.000,2024-10-12 00:33:07,,,,5.0,1.0,,,,6.0,,,,,,北京理工大学《数字信号处理》课程教学资料，采用Matlab和Python实现仿真。.,,3,True,3.0,,,,,,,,,spaitlab_0/DSP-Book,https://gitee.com/spaitlab_0/Digital-Signal-Processing,,,,,,,,,,,,,,,,,
105,Python语言程序设计 学习笔记,https://github.com/crazykuma/LearnPythonBIT,crazykuma/LearnPythonBIT,learning,,https://github.com/crazykuma/LearnPythonBIT,,2019-07-22 11:01:48.000,2019-08-03 06:41:08,2019-08-03 06:40:24,18.0,,1.0,,,,,6.0,,,,,,Python语言程序设计_北京理工大学.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,BIT-Thesis-Bachelor,https://www.overleaf.com/latex/templates/bei-jing-li-gong-da-xue-zi-dong-hua-xue-yuan-kai-ti-bao-gao-mo-ban/cxkjykzkgstb,wanicca/BIT-Thesis-Bachelor,template,['latex'],https://github.com/wanicca/BIT-Thesis-Bachelor,,2019-04-21 16:55:31.000,2019-05-10 10:52:47,2019-05-10 10:52:09,8.0,,,,,,,5.0,,,,,,LaTex thesis template for BIT students.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,BitWebClient,https://github.com/yAnXImIN/BitWebClient,yAnXImIN/BitWebClient,srun,['java'],https://github.com/yAnXImIN/BitWebClient,,2016-07-25 04:17:31.000,2016-07-25 08:18:02,2016-07-25 08:17:29,10.0,,1.0,3.0,,,,5.0,,,,,,A Java Client for Beijing Institute of Technology Campus Web 北京理工大学校园网登录.,3.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,detect-BITOJ,https://github.com/YDX-2147483647/detect-BITOJ,YDX-2147483647/detect-BITOJ,academic,['python'],https://github.com/YDX-2147483647/detect-BITOJ,,2020-12-02 11:48:22.000,2023-07-10 14:22:07,2023-07-10 14:22:07,32.0,,1.0,2.0,,,,5.0,,,,,,探测BIT乐学OJ的保密测试用例（合法方法）.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,BIT_TechRep_CN,https://github.com/yuzhangbit/BIT_TechRep_CN,yuzhangbit/BIT_TechRep_CN,template,['latex'],https://github.com/yuzhangbit/BIT_TechRep_CN,,2016-03-19 20:47:20.000,2016-09-29 04:55:30,2016-09-29 04:55:30,21.0,,3.0,2.0,1.0,,,4.0,,,,,,A technique report latex template for BIT.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,10.0.0.55 enhance,https://greasyfork.org/scripts/367663-10-0-0-55-enhance,fky2015/10-0-0-55-enhance,srun,['web'],https://github.com/fky2015/10-0-0-55-enhance,,2018-05-07 16:10:55.000,2018-08-29 05:27:53,2018-08-29 05:27:40,13.0,,,3.0,,,,4.0,,,,,,make 10.0.0.55 clearer and better.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,367663.0,https://greasyfork.org/scripts/367663,https://update.greasyfork.org/scripts/367663/100055%20enhance.user.js,19.0,5.0,
111,donglinkang2021/os_review,https://github.com/donglinkang2021/os_review,donglinkang2021/os_review,learning,,https://github.com/donglinkang2021/os_review,,2023-11-29 06:55:16.000,2023-12-08 07:06:08,2023-12-08 07:05:27,25.0,,,1.0,,,,4.0,2023-12-06 14:35:57.000,1.0,,,1.0,北京理工大学操作系统期末考试复习笔记.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,BIT-SCORE,https://github.com/yht0511/BIT-SCORE,yht0511/BIT-SCORE,academic,,https://github.com/yht0511/BIT-SCORE,MIT,2024-12-31 01:33:33.000,2025-01-07 05:30:36,2025-01-07 05:29:00,7.0,7.0,,1.0,,,,4.0,,,,,,北京理工大学自动成绩监测系统.,2.0,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True
113,Starry-BITPT,https://github.com/frantic1048/Starry-BITPT,frantic1048/Starry-BITPT,org,['web'],https://github.com/frantic1048/Starry-BITPT,MIT,2014-12-02 11:01:56.000,2014-12-03 07:34:03,2014-12-03 07:33:37,7.0,,,3.0,,,,1.0,,,,,,极速之星全站夜空风格的混乱邪恶的 Stylish 样式.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,bPlanner,https://zaibit.com,phy25/bPlanner,cal,,https://github.com/phy25/bPlanner,MIT,2016-01-14 06:47:42.000,2018-03-14 11:17:42,2016-08-12 15:09:05,22.0,,,2.0,,1.0,1.0,1.0,,,,,,Schedule fetcher for BIT.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,HowMuch,https://github.com/RaulWei/HowMuch,RaulWei/HowMuch,academic,"['python', 'web']",https://github.com/RaulWei/HowMuch,,2015-06-07 11:43:54.000,2015-08-03 12:03:24,2015-08-03 12:03:23,168.0,,1.0,2.0,1.0,,,,,,,,,北京理工大学研究生教务处机器人.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,北京理工大学大学生职业发展协会综合签到系统,http://signsys.zhbitscda.com/,zhbitscda/SCDA_signsys_latest,org,,https://github.com/zhbitscda/SCDA_signsys_latest,,2017-04-21 05:07:05.000,2017-04-27 18:45:21,2017-04-27 18:45:20,9.0,,,7.0,,,,,,,,,,北京理工大学大学生职业发展协会综合签到系统.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,混合现实与新型显示实验室/虚拟人资产,https://gitee.com/bitmrlab/virtual-human-assets,,exp,,,Apache-2.0,2021-06-17 20:13:16.000,2021-08-30 11:46:59,,,,0.0,1.0,,,,,,,,,,本仓库开源了基于lightstage搭建的大球人脸形状及材质系统采集的高精度人脸模型和材质资产。数据来源北京理工大学混合现实与新型显示实验室。.,,3,False,3.0,,,,,,,,,bitmrlab/virtual-human-assets,https://gitee.com/bitmrlab/virtual-human-assets,,,,,,,,,,,,,,,,,
118,BIT物理实验数据处理工具,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,misc,['python'],,CC-BY-SA-4.0,2021-10-01 20:20:09.000,2021-10-02 17:58:33,,,,0.0,1.0,,,,,,,,,,这个仓库用来存放北京理工大学物理实验相关资料。.,,3,False,2.0,,,,,,,,,Creeper_LKF/BIT-Physics-Experiment,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,,,,,,,,,,,,,,,,
119,message_send,https://github.com/Z-ly/message_send,Z-ly/message_send,office,['python'],https://github.com/Z-ly/message_send,,2019-03-27 13:14:51.000,2019-07-29 02:57:31,2019-07-29 02:57:12,4.0,,,,,,,,,,,,,京工飞鸿医疗报销短信生成及自动发送.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,北理工乐学增强,https://greasyfork.org/scripts/34730-%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA,,academic,['web'],,,2017-11-02 08:48:22.000,2021-03-02 02:17:53,,,,,,,,,,,,,,,增强北理工乐学的功能.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,34730.0,https://greasyfork.org/scripts/34730,https://update.greasyfork.org/scripts/34730/%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA.user.js,149.0,34.2,
121,BlockIt,https://github.com/Devil-SX/BlockIt,Devil-SX/BlockIt,apollo,,https://github.com/Devil-SX/BlockIt,MIT,2023-05-10 14:59:26.000,2023-07-09 07:59:27,2023-07-09 07:59:08,20.0,,,2.0,,,2.0,,,,,,,⚠️ 该仓库重新调整定位中! 提高您的Verilog设计工作效率！.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,乐学增强脚本整合包,https://greasyfork.org/scripts/510922-%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6-bit-%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA%E8%84%9A%E6%9C%AC%E6%95%B4%E5%90%88%E5%8C%85,,academic,,,GNU General Public License v3.0 or later,2024-09-30 15:47:19.000,2024-12-16 14:04:34,,,,,,,,,,,,,,,乐学脚本儿大礼包.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,510922.0,https://greasyfork.org/scripts/510922,https://update.greasyfork.org/scripts/510922/%5B%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%20BIT%5D%20%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA%E8%84%9A%E6%9C%AC%E6%95%B4%E5%90%88%E5%8C%85.user.js,18.0,5.0,
123,数字逻辑期末考试复习,https://donglinkang2021.github.io/DigitLogic/,donglinkang2021/DigitLogic,learning,,https://github.com/donglinkang2021/DigitLogic,,2023-06-14 06:42:47.000,2023-06-16 08:51:33,2023-06-16 08:49:47,2.0,,3.0,1.0,,,,13.0,,,,,,北京理工大学大二下数字逻辑复习总结.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,BIT_Thesis,https://github.com/zhang-datou/BIT_Thesis,zhang-datou/BIT_Thesis,template,['latex'],https://github.com/zhang-datou/BIT_Thesis,,2016-11-16 07:39:22.000,2020-05-03 02:12:21,2020-05-03 02:12:20,14.0,,8.0,1.0,2.0,1.0,,11.0,,,,,,北京理工大学硕士毕业论文word和latex模板.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,BIT-Courses-for-C-and-CPP,https://github.com/dzyxdd/BIT-Courses-for-C-and-CPP,dzyxdd/BIT-Courses-for-C-and-CPP,learning,,https://github.com/dzyxdd/BIT-Courses-for-C-and-CPP,,2022-10-06 12:19:00.000,2023-07-18 08:35:51,2023-07-18 08:35:51,30.0,,2.0,,3.0,,1.0,10.0,,,,,,北京理工大学C语言程序设计、程序设计方法与实践、数据结构与算法设计等课程题目程序整理（更新中）.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Bitnoc12/CSAPP_BIT,https://github.com/Bitnoc12/CSAPP_BIT,Bitnoc12/CSAPP_BIT,learning,,https://github.com/Bitnoc12/CSAPP_BIT,,2024-01-20 18:27:04.000,2024-01-20 18:35:04,2024-01-20 18:35:03,8.0,,1.0,1.0,,,,9.0,,,,,,北理工-计算机系统导论.,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,FDUZS/BIThesis,https://github.com/FDUZS/BIThesis,FDUZS/BIThesis,template,['latex'],https://github.com/FDUZS/BIThesis,LPPL-1.3c,2020-09-11 10:33:19.000,2022-11-25 13:21:28,2022-11-25 13:21:16,20.0,,,2.0,,,1.0,8.0,,,,,,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,wyt8/bit-cs,https://github.com/wyt8/bit-cs,wyt8/bit-cs,learning,,https://github.com/wyt8/bit-cs,,2024-07-27 03:55:55.000,2024-07-28 14:14:49,2024-07-28 14:14:49,12.0,,,1.0,,,,8.0,,,,,,北京理工大学（北理工）计算机学院部分课程资料，主要为大作业、项目等。.,,2,True,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,BITSTAR,https://github.com/WangTe/BITSTAR,WangTe/BITSTAR,agg,,https://github.com/WangTe/BITSTAR,,2013-11-25 13:02:40.000,2013-11-26 09:29:19,2013-11-26 07:04:15,10.0,,,1.0,,,,7.0,,,,,,北理校园网址导航.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,LenovoPlayPause,https://github.com/FrzMtrsprt/LenovoPlayPause,FrzMtrsprt/LenovoPlayPause,apollo,,https://github.com/FrzMtrsprt/LenovoPlayPause,,2022-08-12 03:08:29.000,2024-10-09 00:11:38,2024-10-09 00:11:38,9.0,,1.0,2.0,,,,5.0,2022-08-12 03:22:10.000,1.0.0,82.0,2.0,1.0,Map the user-defined key to Play / Pause key on Lenovo laptops.,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,北理工-大一上学期-C语言程序设计-乐学lexueOJ-所有题目的AC代码合集,https://github.com/liujiaqun/BIT-C,liujiaqun/BIT-C,learning,,https://github.com/liujiaqun/BIT-C,,2024-05-11 13:32:39.000,2024-05-11 14:09:08,2024-05-11 14:09:08,4.0,,,1.0,,1.0,,5.0,,,,,,北京理工大学-C语言程序设计代码-乐学lexueOJ-所有题目的AC代码合集.,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Traccy-Debugging/BIT-CS-Learning,https://github.com/Traccy-Debugging/BIT-CS-Learning,Traccy-Debugging/BIT-CS-Learning,learning,,https://github.com/Traccy-Debugging/BIT-CS-Learning,,2024-02-27 07:10:01.000,2024-02-27 07:55:08,2024-02-27 07:55:08,18.0,,,1.0,,,,5.0,,,,,,北京理工大学-徐特立学院-计算机科学与技术专业课程资料 Beijing Institute of Technology (BIT)-Xu Teli College-Computer Science and Technology..,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,一点儿北理地图,https://map.bitnp.net/,,cal,['web'],,,2021-07-24 19:38:18.000,2023-07-10 22:19:18,,,,0.0,7.0,,1.0,,4.0,,,,,,一个校园地图。 校内：https://map.bitnp.net/ 。 旧版：https://capchdo.com/xyc/map 。.,,2,False,3.0,,,,,,,,,YDX-2147483647/map,https://gitee.com/YDX-2147483647/map,,,,,,,,,,,,,,,,,
134,片上系统设计,https://github.com/silenuszhi/SoC_Design_Archive,silenuszhi/SoC_Design_Archive,exp,['hdl'],https://github.com/silenuszhi/SoC_Design_Archive,,2021-09-22 02:50:32.000,2021-09-26 07:15:48,2021-09-26 07:15:48,5.0,,1.0,2.0,,,,3.0,,,,,,"Archive for scripts, codes, slides in the class.",,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Batch_Collections ➡️ Campus_network,https://github.com/KJH-x/Batch_Collections,KJH-x/Batch_Collections,srun,['python'],https://github.com/KJH-x/Batch_Collections,WTFPL,2022-11-30 07:58:14.000,2024-03-20 16:39:40,2024-03-20 16:35:19,103.0,,1.0,1.0,1.0,,1.0,3.0,,,,,,校园网脚本（登录、登出，自动重连）.,2.0,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,北理FTP联盟定时自动刷贴,https://github.com/Freeza91/bit-ftp,Freeza91/bit-ftp,org,,https://github.com/Freeza91/bit-ftp,,2014-10-12 14:39:52.000,2014-10-27 03:59:47,2014-10-27 03:59:40,17.0,,,3.0,,,,3.0,,,,,,"北理FTP联盟自动刷贴,定时分析帖子.",2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Patch of BITJWC,https://github.com/fenprace/Patch-of-BITJWC,fenprace/Patch-of-BITJWC,academic,['web'],https://github.com/fenprace/Patch-of-BITJWC,GPL-3.0,2016-09-21 01:56:30.000,2017-01-11 12:46:31,2017-01-11 12:46:20,11.0,,,2.0,,,,2.0,,,,,,A script fixing bugs on the pages of jwc.bit.edu.cn.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,BITLogin-Node,https://github.com/BIT-BOBH/BITLogin-Node,BIT-BOBH/BITLogin-Node,srun,['web'],https://github.com/BIT-BOBH/BITLogin-Node,,2022-08-18 16:30:25.000,2022-08-18 16:31:04,2022-08-18 16:29:37,8.0,,,,,,,2.0,,,,,,北理工统一身份验证第三方接入的NodeJS实现.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,嵌入式系统原理与应用/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,learning,"['asm', 'cpp']",,MIT,2022-11-21 11:15:20.000,2023-05-07 14:02:29,,,,1.0,1.0,,,,1.0,,,,,,全志v853芯片裸机开发示例程序。.,,2,False,3.0,,,,,,,,,bitpmcrg/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,,,,,,,,,,,,,,,,
140,延河课堂播放功能增强,https://greasyfork.org/scripts/434987-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA,OrdosX/yanhekt-tool,academic,['web'],https://github.com/OrdosX/yanhekt-tool,,2021-11-04 11:36:38.000,2021-11-14 14:15:13,2021-11-14 14:15:07,3.0,,,1.0,,,,1.0,,,,,,视频列表内一大节只显示一个链接，点击视频空白处切换播放暂停，左右方括号切换2倍速和原速，数字键1和2切换单双屏.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,434987.0,https://greasyfork.org/scripts/434987,https://update.greasyfork.org/scripts/434987/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA.user.js,66.0,20.7,
141,BIT-Online-Judge,https://github.com/Lylist/BIT-Online-Judge,Lylist/BIT-Online-Judge,misc,,https://github.com/Lylist/BIT-Online-Judge,,2017-07-01 13:31:31.000,2017-06-17 13:57:43,2017-06-17 05:33:55,14.0,,4.0,1.0,,,,1.0,,,,,,北京理工大学在线评测系统.,3.0,2,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,zaiBIT,https://zaibit.com,phy25/zaiBITstatic,agg,,https://github.com/phy25/zaiBITstatic,,2016-08-03 07:02:13.000,2017-08-05 11:00:07,2017-08-05 11:00:05,23.0,,,1.0,,,,1.0,,,,,,zaibit.com static site.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,WebvpnExploit,https://webvpn.bit.edu.cn/https/77726476706e69737468656265737421e7f2438a373e2652771cc7b69d5b2730bb0f351d/,BIT-BOBH/WebvpnExploit,edu-cn,['web'],https://github.com/BIT-BOBH/WebvpnExploit,,2022-10-09 12:22:25.000,2022-10-13 15:44:58,2022-10-13 15:44:52,13.0,,,,,,,1.0,,,,,,Exploit of cross domain vulnerabilities of webvpn.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,BIT WebVPN URL 双向转换器（浏览器扩展）,https://addons.mozilla.org/zh-CN/firefox/addon/bit-webvpn-converter/,YDX-2147483647/bit-webvpn-converter-web-extension,edu-cn,['Web'],https://github.com/YDX-2147483647/bit-webvpn-converter-web-extension,,2022-11-12 13:43:24.000,2023-07-10 14:25:23,2023-07-10 14:25:22,18.0,,,1.0,,1.0,,,,,,,,BIT WebVPN URL 双向转换器。 （浏览器扩展）.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,BIT CAS login,https://gitee.com/felinae98/BIT-CAS-login,,misc,['python'],,GPL-3.0,2018-01-10 14:41:27.000,2020-12-19 13:26:52,,,,0.0,1.0,,,,,,,,,,login to login.bit.edu.cn.,,2,False,2.0,,,,,,,,,felinae98/BIT-CAS-login,https://gitee.com/felinae98/BIT-CAS-login,,,,,,,,,,,,,,,,,
146,bit_jwc,https://github.com/haohaolalahao/bit_jwc,haohaolalahao/bit_jwc,academic,['python'],https://github.com/haohaolalahao/bit_jwc,,2017-12-21 09:13:18.000,2018-01-02 00:45:08,2018-01-02 00:45:07,9.0,,1.0,1.0,,,,,,,,,,成绩查询、考试信息查询、一键评教。.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,BIT_Mail_Backup,https://github.com/lywly/BIT_Mail_Backup,lywly/BIT_Mail_Backup,misc,['python'],https://github.com/lywly/BIT_Mail_Backup,,2022-05-06 09:05:43.000,2024-10-03 09:36:39,2024-10-03 09:36:39,3.0,,,1.0,,,,,,,,,,北京理工大学邮箱备份.,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,学生事务中心办事指南,https://howto.info.bit.edu.cn/,,agg,,,CC BY 4.0,,2021-11-26,,,,,,,,,,,,,,,“办事指南” DokuWiki 站点，由北京理工大学学生事务中心建立，目前处于试运行阶段。.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,helping-check-answer,https://greasyfork.org/scripts/367662-helping-check-answer,,misc,['web'],,,2018-05-07 16:05:09.000,2018-05-07 16:07:38,,,,,,,,,,,,,,,形势政策答题查询.,,2,False,2.0,,,,,,,,,,,,,,,,,,,,,,367662.0,https://greasyfork.org/scripts/367662,https://update.greasyfork.org/scripts/367662/helping-check-answer.user.js,1085.0,5.0,
150,BIT-Moodle-Video-Speed-Up,https://greasyfork.org/scripts/396818-bit-moodle-video-speed-up,,academic,['web'],,,2020-02-24 07:32:06.000,2020-02-24 07:32:06,,,,,,,,,,,,,,,北理乐学视频倍率播放.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,396818.0,https://greasyfork.org/scripts/396818,https://update.greasyfork.org/scripts/396818/BIT-Moodle-Video-Speed-Up.user.js,157.0,5.0,
151,北理乐学视频下载助手,https://greasyfork.org/scripts/422933-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B,,academic,['web'],,,2021-03-09 09:02:21.000,2021-03-09 09:02:21,,,,,,,,,,,,,,,将课程列表的播放页面链接替换成视频文件下载链接！.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,422933.0,https://greasyfork.org/scripts/422933,https://update.greasyfork.org/scripts/422933/%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD%E5%8A%A9%E6%89%8B.user.js,19.0,5.0,
152,BIT-Moodle-Theme-Enhance,https://greasyfork.org/scripts/397151-bit-moodle-theme-enhance,fky2015/BIT-Moodle-dracula-Theme,academic,['web'],https://github.com/fky2015/BIT-Moodle-dracula-Theme,,2020-02-22 16:24:19.000,2020-03-03 04:24:59,2020-03-03 04:24:51,11.0,,,2.0,,,,,,,,,,provide mordern theme design for moodle system.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,397151.0,https://greasyfork.org/scripts/397151,https://update.greasyfork.org/scripts/397151/BIT-Moodle-Theme-Enhance.user.css,29.0,5.0,
153,北理乐学美化,https://greasyfork.org/scripts/415353-%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96,,academic,['web'],,,2020-11-03 04:17:44.000,2020-11-03 04:17:44,,,,,,,,,,,,,,,优化乐学的显示界面.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,415353.0,https://greasyfork.org/scripts/415353,https://update.greasyfork.org/scripts/415353/%E5%8C%97%E7%90%86%E4%B9%90%E5%AD%A6%E7%BE%8E%E5%8C%96.user.js,11.0,5.0,
