,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,npm_id,dependent_project_count,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,new_addition,updated_github_id
104,组织部芝士虾,https://bitnp.github.io/cheesy-shrimp/,bitnp/cheesy-shrimp,org,,https://github.com/BITNP/cheesy-shrimp,,2023-07-19 08:20:03,2023-12-07 14:34:32,2023-12-07 14:29:35,6.0,,1.0,5.0,,,,,,,,,,2023年夏在QQ群“2022网协组织部”发生的 stand alone complex 现象。.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,BlockIt,https://github.com/Devil-SX/BlockIt,Devil-SX/BlockIt,apollo,,https://github.com/Devil-SX/BlockIt,MIT,2023-05-10 14:59:26,2023-07-09 07:59:27,2023-07-09 07:59:08,20.0,,,2.0,,,2.0,,,,,,,⚠️ 该仓库重新调整定位中! 提高您的Verilog设计工作效率！.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,I_NEED_COURSE,https://github.com/friskit-china/I_NEED_COURSE,friskit-china/I_NEED_COURSE,academic,['python'],https://github.com/friskit-china/I_NEED_COURSE,,2016-09-14 13:01:32,2016-09-14 13:01:57,2016-09-14 13:00:48,1.0,,6.0,1.0,,,,17.0,,,,,,北理工教务系统抢课工具.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,北京理工大学-本科-人工智能专业-通关手册,https://github.com/Z-Luan/BIT-AI,Z-Luan/BIT-AI,learning,,https://github.com/Z-Luan/BIT-AI,,2023-10-20 14:53:12,2023-11-01 14:05:50,2023-11-01 14:05:50,52.0,,,1.0,,,1.0,17.0,,,,,,本人在该项目中分享了北京理工大学2020级人工智能专业相关课程的实验作业资料，欢迎star🌟。.,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,BIT_Thesis,https://github.com/zhang-datou/BIT_Thesis,zhang-datou/BIT_Thesis,template,['latex'],https://github.com/zhang-datou/BIT_Thesis,,2016-11-16 07:39:22,2020-05-03 02:12:21,2020-05-03 02:12:20,14.0,,9.0,1.0,2.0,1.0,,12.0,,,,,,北京理工大学硕士毕业论文word和latex模板.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,FDUZS/BIThesis,https://github.com/FDUZS/BIThesis,FDUZS/BIThesis,template,['latex'],https://github.com/FDUZS/BIThesis,LPPL-1.3c,2020-09-11 10:33:19,2022-11-25 13:21:28,2022-11-25 13:21:16,20.0,,,2.0,,,1.0,7.0,,,,,,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,数字信号处理,https://gitee.com/spaitlab_0/Digital-Signal-Processing,,learning,['python'],,GPL-3.0,2021-12-23 23:17:25,2023-10-17 10:17:25,,,,2.0,1.0,,,,6.0,,,,,,北京理工大学《数字信号处理》课程教学资料，采用Matlab和Python实现仿真。.,,2,True,3.0,,,,,,spaitlab_0/DSP-Book,https://gitee.com/spaitlab_0/Digital-Signal-Processing,,,,,,,,,,,,,,,,,,,,
111,BITSTAR,https://github.com/WangTe/BITSTAR,WangTe/BITSTAR,agg,,https://github.com/WangTe/BITSTAR,,2013-11-25 13:02:40,2013-11-26 09:29:19,2013-11-26 07:04:15,10.0,,,1.0,,,,6.0,,,,,,北理校园网址导航.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,BIT-Courses-for-C-and-CPP,https://github.com/dzyxdd/BIT-Courses-for-C-and-CPP,dzyxdd/BIT-Courses-for-C-and-CPP,learning,,https://github.com/dzyxdd/BIT-Courses-for-C-and-CPP,,2022-10-06 12:19:00,2023-07-18 08:35:51,2023-07-18 08:35:51,30.0,,2.0,,3.0,,1.0,6.0,,,,,,北京理工大学C语言程序设计、程序设计方法与实践、数据结构与算法设计等课程题目程序整理（更新中）.,2.0,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,片上系统设计,https://github.com/silenuszhi/SoC_Design_Archive,silenuszhi/SoC_Design_Archive,exp,['hdl'],https://github.com/silenuszhi/SoC_Design_Archive,,2021-09-22 02:50:32,2021-09-26 07:15:48,2021-09-26 07:15:48,5.0,,1.0,2.0,,,,4.0,,,,,,"Archive for scripts, codes, slides in the class.",,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
