,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,npm_id,dependent_project_count,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,new_addition,updated_github_id
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20,2024-05-25 08:45:30,2024-05-25 08:45:13,1070.0,106.0,98.0,10.0,257.0,6.0,214.0,658.0,2024-05-04 11:53:54.000,3.7.7,11491.0,225.0,83.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,26.0,21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BitSrunLoginGo,https://github.com/Mmx233/BitSrunLoginGo,Mmx233/BitSrunLoginGo,srun,['go'],https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26,2024-05-13 08:42:23,2024-05-13 08:42:10,335.0,8.0,26.0,1.0,4.0,,29.0,253.0,2024-03-23 11:57:42.000,1.5.2,3560.0,93.0,39.0,深澜校园网登录程序 Go 语言版，适用于路由器、Windows、Linux 等。提供对 OpenWrt、Docker、Go Module 的支持.,6.0,15,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,QtUnblockNeteaseMusic,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,FrzMtrsprt/QtUnblockNeteaseMusic,apollo,,https://github.com/FrzMtrsprt/QtUnblockNeteaseMusic,GPL-3.0,2022-07-22 02:48:10,2024-04-07 14:30:38,2024-04-07 14:30:33,218.0,9.0,11.0,2.0,,4.0,22.0,505.0,2024-03-14 13:18:30.000,1.5.2,9090.0,413.0,17.0,"A desktop client for UnblockNeteaseMusic, made with Qt.",1.0,14,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,zu1k/srun,https://github.com/zu1k/srun,zu1k/srun,srun,['rust'],https://github.com/zu1k/srun,GPL-3.0,2021-11-02 13:52:39,2024-05-02 01:52:28,2024-05-02 01:52:28,97.0,7.0,26.0,2.0,24.0,1.0,11.0,191.0,2024-04-18 10:45:55.000,0.6.0,2313.0,77.0,20.0,srun 深澜认证登录，超轻量、多平台，支持多拨、自动探测IP、指定网卡.,6.0,13,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,vouv/srun,https://github.com/vouv/srun,vouv/srun,srun,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59,2023-07-24 14:48:53,2023-07-08 08:40:31,154.0,,26.0,4.0,6.0,,6.0,105.0,2021-01-02 10:19:25.000,1.1.5,1372.0,23.0,25.0,北京理工大学校园网命令行登录工具，多系统支持.,6.0,13,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,srun,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05,2024-05-16 17:54:36,2024-04-07 06:38:35,141.0,3.0,12.0,3.0,39.0,2.0,10.0,49.0,2024-04-07 06:40:18.000,3.7.1,92.0,112.0,18.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,8.0,12,True,2.0,bitsrun,https://pypi.org/project/bitsrun,2024-04-07 06:40:18.000,107.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
6,BIT_yanhe_download,https://github.com/AuYang261/BIT_yanhe_download,AuYang261/BIT_yanhe_download,academic,['python'],https://github.com/AuYang261/BIT_yanhe_download,MIT,2023-03-31 09:09:41,2024-05-17 11:21:42,2024-05-17 11:21:42,44.0,18.0,5.0,1.0,4.0,,3.0,38.0,2024-04-12 18:01:34.000,2.1,402.0,57.0,9.0,北京理工大学延河课堂回放下载器.,3.0,12,True,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,BIT-Thesis,https://github.com/BIT-thesis/LaTeX-template,BIT-thesis/LaTeX-template,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55,2024-03-21 13:18:39,2018-11-09 03:32:21,105.0,,91.0,18.0,13.0,22.0,23.0,362.0,2018-11-09 03:35:12.000,1.5,,,5.0,LaTeX template for BIT thesis.,6.0,11,False,1.0,,,,,,five_cost_QiFei/LaTeX-template,https://gitee.com/five_cost_QiFei/LaTeX-template,,,,,,,,,,,,,,,,,,,,
8,数据挖掘,https://bitdm.github.io/,BITDM/bitdm.github.io,exp,,https://github.com/BITDM/bitdm.github.io,,2015-06-13 00:49:08,2020-07-31 04:25:36,2020-07-31 04:25:25,1278.0,,156.0,8.0,391.0,1.0,1.0,42.0,,,,,,Contents for data mining course.,153.0,11,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,北理工延河课堂视频下载,https://github.com/GDDG08/YanHeKT_Downloader,GDDG08/YanHeKT_Downloader,academic,['python'],https://github.com/GDDG08/YanHeKT_Downloader,MPL-2.0,2023-04-01 15:27:44,2024-04-03 17:34:43,2024-04-03 17:34:36,28.0,13.0,6.0,1.0,2.0,,4.0,38.0,2024-04-03 17:18:00.000,Beta-2.3.4,199.0,15.0,7.0,北理工延河课堂视频下载.,3.0,11,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BIThesis-wiki,https://bithesis.bitnp.net,BITNP/BIThesis-wiki,template,['latex'],https://github.com/BITNP/BIThesis-wiki,CC0-1.0,2020-11-25 12:05:29,2024-05-22 04:13:05,2024-05-21 18:51:07,627.0,89.0,4.0,5.0,264.0,5.0,31.0,8.0,,,,,,非官方本科生毕业设计论文/研究生学位论文 LaTeX 模板（以及更多）在线文档.,14.0,11,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BIT-srun-login-script,https://github.com/coffeehat/BIT-srun-login-script,coffeehat/BIT-srun-login-script,srun,['python'],https://github.com/coffeehat/BIT-srun-login-script,MIT,2020-04-01 14:17:26,2024-04-19 12:38:58,2024-04-19 12:38:58,21.0,2.0,40.0,3.0,6.0,,3.0,150.0,,,,,,北京理工大学深澜校园网登录脚本，以实现命令行登录或者断线重连等，仅提供登录功能.,6.0,10,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55,2021-12-14 11:20:18,2021-12-14 11:18:13,67.0,,33.0,4.0,,2.0,3.0,203.0,,,,,,北京理工大学计算机学院课程代码/历年试卷/知识点总结等，欢迎PR.,1.0,9,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BIT101,https://bit101.cn,BIT101-dev/BIT101,agg,['web'],https://github.com/BIT101-dev/BIT101,AGPL-3.0,2022-02-22 13:24:29,2024-03-11 02:53:57,2024-03-11 02:05:02,117.0,11.0,6.0,4.0,18.0,4.0,16.0,85.0,,,,,,百丽宫攻略、课程评价及资料、课表、查成绩。.,4.0,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,edu-cn,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50,2024-05-10 03:41:15,2023-12-11 11:24:33,292.0,,27.0,4.0,250.0,,9.0,82.0,,,,,,Web VPN converter.,7.0,9,True,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,Bulletin Issues Transferred,https://haobit.top/dev/site/notice/,YDX-2147483647/bulletin-issues-transferred,agg,['Web'],https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43,2024-03-09 19:32:33,2024-03-09 11:32:07,169.0,1.0,1.0,4.0,21.0,8.0,26.0,29.0,,,,,,汇总 BIT 各种网站的通知。（以及钉钉、RSS插件等）.,3.0,9,True,1.0,,,,,,YDX-2147483647/bulletin-issues-transferred,https://gitee.com/YDX-2147483647/bulletin-issues-transferred,,,,,,,,,,,,,,,,,,,,
16,bitsrun-rs,https://github.com/spencerwooo/bitsrun-rs,spencerwooo/bitsrun-rs,srun,,https://github.com/spencerwooo/bitsrun-rs,MIT,2023-11-17 08:31:32,2024-04-26 08:56:36.872000,2024-04-26 08:54:41,71.0,3.0,1.0,2.0,9.0,,2.0,17.0,2024-04-26 08:56:36.872,0.4.0,181.0,506.0,7.0,"🌐 A headless login / logout CLI for 10.0.0.55 at BIT, now in Rust. 北京理工大学 10.0.0.55 校园网登录登出的 Rust 实现.",2.0,9,True,2.0,,,,,,,,bitsrun,https://crates.io/crates/bitsrun,2024-04-26 08:56:36.872,476.0,1919.0,,,,,,,,,,,,,,,
17,BIT-CS-Learning,https://github.com/songshangru/BIT-CS-Learning,songshangru/BIT-CS-Learning,learning,,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41,2024-05-20 01:15:06,2024-05-20 01:15:06,119.0,3.0,63.0,6.0,24.0,1.0,2.0,251.0,,,,,,保存一下我自己整理的北理工计科的学习资料，欢迎分享资源.,6.0,8,True,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,BITCS Coursework,https://github.com/spencerwooo/BITCS-Coursework,spencerwooo/BITCS-Coursework,learning,,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01,2021-06-07 05:15:07,2020-01-11 10:15:06,17.0,,24.0,4.0,1.0,1.0,,163.0,,,,,,不完整北京理工大学计算机学院课程项目资料清单。.,2.0,8,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BITthesis,https://github.com/qiuzhu/BITthesis,qiuzhu/BITthesis,template,['latex'],https://github.com/qiuzhu/BITthesis,GPL-3.0,2016-08-17 08:41:37,2017-10-11 05:32:37,2017-09-08 12:53:22,142.0,,24.0,5.0,6.0,3.0,,57.0,2017-08-11 09:39:55.000,1.3,,,4.0,Thesis Template of Beijing Institute of Technology Using LaTeX.,2.0,8,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BIT-enhanced,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,edu-cn,['Web'],https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2024-05-21 08:10:19,2024-05-21 00:10:03,225.0,25.0,3.0,1.0,20.0,1.0,7.0,8.0,,,,,,一些方便大家使用 BIT 相关网站的用户脚本和用户样式表。.,5.0,8,True,2.0,,,,,,YDX-2147483647/BIT-enhanced,https://gitee.com/YDX-2147483647/BIT-enhanced,,,,,,,,,,,,,,,,,,,,
21,i乐学助手,https://apps.apple.com/cn/app/i%E4%B9%90%E5%AD%A6%E5%8A%A9%E6%89%8B/id6468846337,BobH233/LexueSwiftUI,academic,,https://github.com/BobH233/LexueSwiftUI,GPL-3.0,2023-09-03 10:28:01,2024-05-21 05:17:51,2024-05-20 13:37:51,584.0,27.0,,1.0,,,2.0,6.0,2024-03-12 03:12:56.000,1.5,,,5.0,提供“乐学”服务的iOS端手机应用，具有“临近作业期限提醒”“小组件显示最近日程”“聚合全校消息通知”等增强功能。.,,8,True,1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,
22,BIT Online Code Helper,https://github.com/Crawler995/BITOnlineCodeHelper,Crawler995/BITOnlineCodeHelper,academic,,https://github.com/Crawler995/BITOnlineCodeHelper,MIT,2020-01-14 12:32:09,2020-04-16 01:33:26,2020-04-16 01:11:16,3.0,,,2.0,,,,1.0,2020-04-16 01:33:26.000,1.0.4,,45.0,6.0,Test and commit your code of BIT Online coding homework more easily and conveniently!.,,8,False,1.0,BIT-Online-Code-Helper,https://pypi.org/project/BIT-Online-Code-Helper,2020-04-16 01:33:26.000,45.0,,,,,,,,,,,,,,,,,,,,,,,
23,BIT-MiniCC,https://github.com/jiweixing/BIT-MiniCC,jiweixing/BIT-MiniCC,apollo,,https://github.com/jiweixing/BIT-MiniCC,,2016-04-13 05:47:59,2023-05-17 05:40:04,2023-05-17 05:40:04,64.0,,109.0,11.0,8.0,8.0,7.0,181.0,,,,,,A C compiler framework in Java.,2.0,7,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BIT-DA/RIPU,https://github.com/BIT-DA/RIPU,BIT-DA/RIPU,apollo,,https://github.com/BIT-DA/RIPU,MIT,2022-03-13 06:24:18,2023-10-22 12:02:53,2023-10-22 12:02:53,13.0,,18.0,7.0,,,5.0,139.0,,,,,,[CVPR 2022 Oral] Towards Fewer Annotations: Active Learning via Region Impurity and Prediction Uncertainty for Domain..,2.0,7,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hyperzsb/bit-cs,https://github.com/Hyperzsb/bit-cs,Hyperzsb/bit-cs,learning,,https://github.com/Hyperzsb/bit-cs,MIT,2019-11-24 08:01:50,2021-08-23 13:14:38,2021-08-23 13:14:27,101.0,,4.0,2.0,2.0,,,25.0,,,,,,"Codes and other resources of courses offered in School of Computer Science & Technology, Beijing Institute of..",4.0,7,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PySPT,https://spaitlab.gitee.io/py-spt/index.html,,apollo,['python'],,MIT,2022-05-08 18:43:27,2024-04-13 20:08:25,,,,21.0,12.0,,,,16.0,,,,,,Python信号处理工具箱 Python Signal Processing Toolbox.,,7,True,1.0,,,,,,spaitlab/py-spt,https://gitee.com/spaitlab/py-spt,,,,,,,,,,,,,,,,,,,,
27,BIT-enhanced ➡️ BIT-Programming-Detect,https://greasyfork.org/scripts/488587-bit-programming-detect,YDX-2147483647/BIT-enhanced,academic,,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2024-04-02 02:01:06,2024-05-21 00:10:03,225.0,25.0,,1.0,20.0,1.0,7.0,8.0,,,,,,通过提交C语言程序，逐字符确定测试用例。为符合编程人员的习惯，字符默认从第0个开始。文本框中输入Enter键可以直接开始探测。在结束文本框输入非数字时，会持续探测。探测到所有的测试用例都OF时探测会结束。支持的测试用例字符：ASCII..,5.0,7,True,2.0,,,,,,,,,,,,,488587.0,https://greasyfork.org/scripts/488587,https://update.greasyfork.org/scripts/488587/BIT-Programming-Detect.user.js,3.0,5.0,,,,,,,,,,
28,BIT-enhanced ➡️ BIT-乐学-修改侧边栏课程-GUI,https://greasyfork.org/scripts/488788-bit-%E4%B9%90%E5%AD%A6-%E4%BF%AE%E6%94%B9%E4%BE%A7%E8%BE%B9%E6%A0%8F%E8%AF%BE%E7%A8%8B-gui,YDX-2147483647/BIT-enhanced,academic,,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2024-03-04 07:55:49,2024-05-21 00:10:03,225.0,25.0,,1.0,20.0,1.0,7.0,8.0,,,,,,修改侧边栏显示的课程.,5.0,7,True,2.0,,,,,,,,,,,,,488788.0,https://greasyfork.org/scripts/488788,https://update.greasyfork.org/scripts/488788/BIT-%E4%B9%90%E5%AD%A6-%E4%BF%AE%E6%94%B9%E4%BE%A7%E8%BE%B9%E6%A0%8F%E8%AF%BE%E7%A8%8B-GUI.user.js,3.0,5.0,,,,,,,,,,
29,BIT-enhanced ➡️ BIT-物理实验中心-下载日历,https://greasyfork.org/scripts/491539-bit-%E7%89%A9%E7%90%86%E5%AE%9E%E9%AA%8C%E4%B8%AD%E5%BF%83-%E4%B8%8B%E8%BD%BD%E6%97%A5%E5%8E%86,YDX-2147483647/BIT-enhanced,academic,,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2024-04-03 10:14:39,2024-05-21 00:10:03,225.0,25.0,,1.0,20.0,1.0,7.0,8.0,,,,,,生成课程表的 iCalendar 文件并下载.,5.0,7,True,2.0,,,,,,,,,,,,,491539.0,https://greasyfork.org/scripts/491539,https://update.greasyfork.org/scripts/491539/BIT-%E7%89%A9%E7%90%86%E5%AE%9E%E9%AA%8C%E4%B8%AD%E5%BF%83-%E4%B8%8B%E8%BD%BD%E6%97%A5%E5%8E%86.user.js,1.0,5.0,,,,,,,,,,
30,BIT-WEB,https://github.com/Ethan-yt/BIT-WEB,Ethan-yt/BIT-WEB,srun,['web'],https://github.com/Ethan-yt/BIT-WEB,ISC,2019-04-02 05:04:30,2022-02-11 18:53:56,2019-04-02 10:59:45,4.0,,1.0,2.0,2.0,,,2.0,2019-04-02 11:00:08.528,1.0.5,,8.0,5.0,北理工上网命令行脚本，支持联通移动.,,7,False,2.0,,,,,,,,,,,,,,,,,,@ethanyt/bit,5.0,3.0,https://www.npmjs.com/package/@ethanyt/bit,2019-04-02 11:00:08.528,2.0,8.0,,,
31,bitroom (Book an Incongruent Topological Room Or be Out of Mind),https://github.com/YDX-2147483647/bitroom,YDX-2147483647/bitroom,cal,['python'],https://github.com/YDX-2147483647/bitroom,MIT,2023-05-04 13:18:27,2023-07-10 14:17:16,2023-07-10 14:17:16,30.0,,,1.0,,2.0,4.0,1.0,2023-05-18 01:53:00.446,0.1.5,,33.0,5.0,BIT 场地预约查询接口。（bitroom）🚩🏠.,,7,True,1.0,bitroom,https://pypi.org/project/bitroom,2023-05-18 01:53:00.446,33.0,,,,,,,,,,,,,,,,,,,,,https://github.com/YDX-2147483647/bitroom/wiki,,
32,幻影坦克快速发车工具(带图形界面),https://github.com/Aloxaf/MirageTankGo,Aloxaf/MirageTankGo,apollo,['python'],https://github.com/Aloxaf/MirageTankGo,GPL-3.0,2018-01-20 15:00:18,2024-04-20 04:43:48,2019-08-20 05:33:30,20.0,,19.0,5.0,3.0,2.0,,134.0,,,,,,幻影坦克(特指点开后不一样的图片)快速发车工具.,1.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MIPS 指令集 CPU 设计,https://github.com/bit-mips/bitmips_experiments,bit-mips/bitmips_experiments,exp,"['asm', 'hdl']",https://github.com/bit-mips/bitmips_experiments,,2019-11-11 12:08:37,2020-09-23 06:54:12,2020-09-23 06:53:48,31.0,,8.0,3.0,2.0,,,34.0,,,,,,北京理工大学 MIPS 指令集 CPU 设计系列教学实验.,4.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BIT101-Android,https://github.com/BIT101-dev/BIT101-Android,BIT101-dev/BIT101-Android,agg,,https://github.com/BIT101-dev/BIT101-Android,AGPL-3.0,2023-03-14 16:43:24,2024-03-01 10:05:20,2024-01-18 14:43:10,23.0,,2.0,2.0,6.0,1.0,1.0,21.0,2023-09-19 13:15:51.000,1.1.0,13.0,1.0,3.0,针对北京理工大学搞的怪安卓.,4.0,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,图书馆座位预约系统辅助工具,https://github.com/DefJia/Auto_Reservation_System_BE,DefJia/Auto_Reservation_System_BE,cal,['python'],https://github.com/DefJia/Auto_Reservation_System_BE,Apache-2.0,2018-10-13 17:14:21,2021-12-01 11:47:57,2021-12-01 11:47:45,61.0,,8.0,2.0,1.0,3.0,8.0,17.0,,,,,,图书馆座位预约系统辅助工具 An auxiliary tool for booking seats in Library Seat Reservation System.,3.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,网协主页,https://www.bitnp.net/,BITNP/bitnp-website,org,['web'],https://github.com/BITNP/bitnp-website,,2022-08-12 09:16:11,2024-02-01 14:42:58,2024-02-01 06:26:26,163.0,,6.0,5.0,6.0,1.0,4.0,11.0,,,,,,The website of Net Pioneer Association of BIT.,12.0,6,True,1.0,,,,,-1.0,iruhh/bitnp-website,https://gitee.com/iruhh/bitnp-website,,,,,,,,,,,,,,,,,,,,
37,BIT-Report-LaTeX,https://www.overleaf.com/latex/templates/beijing-institute-of-technology-report-template/szxqnwxtbcrb,CharlieLeee/BIT-Report-LaTeX,template,['latex'],https://github.com/CharlieLeee/BIT-Report-LaTeX,MIT,2020-05-29 04:07:15,2020-11-19 11:54:17,2020-11-19 11:53:55,29.0,,1.0,,,1.0,,8.0,2020-10-18 12:00:40.000,1.0,,,1.0,English and Chinese LaTeX template for reports/projects/proposal at Beijing Institute of Technology.,,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bon-for-Mac,https://github.com/Chriskuei/Bon-for-Mac,Chriskuei/Bon-for-Mac,srun,,https://github.com/Chriskuei/Bon-for-Mac,MIT,2016-05-27 04:08:07,2017-11-15 05:37:19,2017-11-15 05:37:14,20.0,,2.0,3.0,,,,5.0,2017-11-15 05:34:04.000,0.5.2,39.0,0.0,4.0,The elegant network client for BIT.,,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,bit-srun-cli,https://github.com/fangli-li/bit-srun-cli,fangli-li/bit-srun-cli,srun,['python'],https://github.com/fangli-li/bit-srun-cli,MIT,2020-11-14 16:49:11,2020-11-30 21:12:06,2020-11-15 18:57:03,4.0,,1.0,2.0,,,,4.0,2020-11-30 21:12:06.000,0.2.2,,26.0,4.0,"北理工校园网登录客户端,使用pip安装.",2.0,6,False,2.0,srun-bit,https://pypi.org/project/srun-bit,2020-11-30 21:12:06.000,26.0,,,,,,,,,,,,,,,,,,,,,,,
40,BIT睿信空间预约,https://bitrxc.com,bitrxc/bitrxc-server,cal,['web'],https://github.com/bitrxc/bitrxc-server,AGPL-3.0,2021-01-28 01:55:52,2022-07-27 22:42:51,2022-04-14 12:42:57,255.0,,4.0,1.0,38.0,,,3.0,2021-04-30 01:18:04.000,beta-1.1.1,,,1.0,Server of Management System of BIT Ruixin Community.,6.0,6,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bus Interrogation Tunnel,https://github.com/YDX-2147483647/bus-interrogation-tunnel,YDX-2147483647/bus-interrogation-tunnel,cal,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57,2024-03-06 09:34:41,2024-03-06 09:34:41,11.0,1.0,,1.0,,,,2.0,2023-03-14 08:51:31.753,0.1.0,,13.0,1.0,BIT 班车查询接口。（bitbus）🚌.,,6,True,2.0,bus-interrogation-tunnel,https://pypi.org/project/bus-interrogation-tunnel,2023-03-14 08:51:31.753,13.0,,,,,,,,,,,,,,,,,,,,,,,
42,Virtual BIT Network,https://github.com/YDX-2147483647/virtual-BIT-network,YDX-2147483647/virtual-BIT-network,edu-cn,,https://github.com/YDX-2147483647/virtual-BIT-network,MIT,2022-08-03 08:37:17,2023-11-22 08:05:31,2023-11-22 08:05:31,31.0,,,1.0,3.0,,1.0,1.0,2023-11-06 11:44:37.416,0.2.2,,7.0,3.0,BIT WebVPN 登录与转换（≈ Fetch API）.,2.0,6,True,2.0,,,,,,,,,,,,,,,,,,virtual-bit-network,1.0,1.0,https://www.npmjs.com/package/virtual-bit-network,2023-11-06 11:44:37.416,,7.0,,,
43,北京理工大学-本科-人工智能专业-通关经验包,https://github.com/Robin-WZQ/BIT-AI-Review,Robin-WZQ/BIT-AI-Review,learning,,https://github.com/Robin-WZQ/BIT-AI-Review,,2022-01-04 03:42:17,2024-01-14 14:17:22,2024-01-14 14:17:22,559.0,,10.0,1.0,2.0,1.0,2.0,131.0,,,,,,本项目分享了本人在北京理工大学计算机学院人工智能专业的相关课程资料与经验分享。希望对你们有所帮助❤️，如果喜欢的话记得给个star哦🌟.,3.0,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,biteduML,https://github.com/bigablecat/biteduML,bigablecat/biteduML,learning,,https://github.com/bigablecat/biteduML,,2017-07-05 11:35:09,2019-06-13 09:02:47,2019-06-13 09:02:46,36.0,,26.0,3.0,2.0,,1.0,61.0,,,,,,北京理工大学Python机器学习应用超详细学习笔记和代码注释(未完待续).,1.0,5,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BIT-thesis-LaTex,https://github.com/jiandahao/BIT-thesis-LaTex,jiandahao/BIT-thesis-LaTex,template,['latex'],https://github.com/jiandahao/BIT-thesis-LaTex,MIT,2019-05-14 03:08:50,2020-05-06 16:07:52,2020-05-06 16:07:51,27.0,,17.0,2.0,1.0,1.0,1.0,58.0,,,,,,北京理工大学学硕士/博士学位毕业论文LaTeX模板（LaTeX Template for BIT thesis）.,2.0,5,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BIT-campus-network-CLI,https://github.com/LiJinyao/BIT-campus-network-CLI,LiJinyao/BIT-campus-network-CLI,srun,['web'],https://github.com/LiJinyao/BIT-campus-network-CLI,MIT,2018-11-17 19:13:56,2021-01-31 03:45:03,2020-04-11 15:29:02,16.0,,9.0,1.0,1.0,,1.0,28.0,,,,,,帮助你在无法使用浏览器的情况下登陆北理工校园网🍻.,,5,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SecretWeapon,https://github.com/BITNP/SecretWeapon,BITNP/SecretWeapon,learning,,https://github.com/BITNP/SecretWeapon,,2016-03-27 05:57:53,2021-12-09 03:32:00,2021-12-09 03:32:00,35.0,,12.0,8.0,1.0,,1.0,25.0,,,,,,Secret weapons that arm your studies.,8.0,5,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rust-toys ➡️ bitlogin,https://github.com/Aloxaf/Rust-toys,Aloxaf/Rust-toys,srun,['rust'],https://github.com/Aloxaf/Rust-toys,,2018-09-19 13:27:15,2019-03-30 05:28:41,2019-03-30 05:28:33,34.0,,3.0,3.0,,,,17.0,,,,,,10_0_0_55_login 的 rust 实现.,,5,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,理治棋壮,https://github.com/sswv/bitstronger,sswv/bitstronger,apollo,['cpp'],https://github.com/sswv/bitstronger,GPL-2.0,2015-06-06 00:42:19,2015-06-06 01:28:31,2015-06-06 01:28:27,3.0,,12.0,3.0,,,,16.0,,,,,,一个基于中国象棋通用引擎协议（UCCI）的中国象棋计算机博弈引擎。.,,5,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BIT-Automation-Proposal-Report,https://github.com/CharlieLeee/BIT-Automation-Proposal-Report,CharlieLeee/BIT-Automation-Proposal-Report,template,['latex'],https://github.com/CharlieLeee/BIT-Automation-Proposal-Report,MIT,2021-01-02 05:28:05,2021-05-10 16:23:44,2021-05-10 16:23:44,14.0,,2.0,1.0,2.0,,,9.0,2021-01-31 13:49:36.000,2.1,,,3.0,北理自动化毕业设计开题报告LaTeX模板.,,5,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,poems-2023 ➡️ 综测表一生成表二,https://github.com/BITNP/poems-2023,BITNP/poems-2023,office,,https://github.com/BITNP/poems-2023,MIT,2023-05-24 07:52:42,2023-08-01 16:08:22,2023-08-01 16:07:27,6.0,,1.0,4.0,1.0,,,4.0,,,,,,睿信书院综测需填写两表，其中表二是汇总表，内容来自表一。每次填写不免繁琐，因此开发这个小软件，自动根据表一内容生成表二，手动粘贴即可快速完成填写。.,3.0,5,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
