,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,npm_id,npm_url,npm_monthly_downloads
83,数字信号处理,https://gitee.com/spaitlab_0/DSP-Book,,learning,['python'],,GPL-3.0,2021-12-23 23:17:25,2023-04-06 13:21:09,,,,2.0,1.0,,,,4.0,,,,,,北京理工大学《数字信号处理》课程教学资料，采用Matlab和Python实现仿真。.,,2,True,3.0,,,,,,spaitlab_0/DSP-Book,https://gitee.com/spaitlab_0/DSP-Book,,,,,,,,,,
84,10.0.0.55 enhance,https://github.com/fky2015/10-0-0-55-enhance,fky2015/10-0-0-55-enhance,srun,['web'],https://github.com/fky2015/10-0-0-55-enhance,,2018-05-07 16:10:55,2018-08-29 05:27:53,2018-08-29 05:27:40,13.0,,,2.0,,,,4.0,,,,,,make 10.0.0.55 clearer and better.,,2,False,3.0,,,,,,,,,367663.0,https://greasyfork.org/scripts/367663,https://greasyfork.org/scripts/367663-10-0-0-55-enhance/code/100055%20enhance.user.js,19.0,5.0,,,,
85,北理FTP联盟定时自动刷贴,https://github.com/Freeza91/bit-ftp,Freeza91/bit-ftp,org,,https://github.com/Freeza91/bit-ftp,,2014-10-12 14:39:52,2014-10-27 03:59:47,2014-10-27 03:59:40,17.0,,,3.0,,,,3.0,,,,,,"北理FTP联盟自动刷贴,定时分析帖子.",2.0,2,False,3.0,,,,,,,,,,,,,,,,,
86,BIT_Matrix_Analysis_Course,https://github.com/NeoSunJZ/BIT_Matrix_Analysis_Course,NeoSunJZ/BIT_Matrix_Analysis_Course,learning,,https://github.com/NeoSunJZ/BIT_Matrix_Analysis_Course,MIT,2023-02-14 09:25:40,2023-02-14 09:28:21,2023-02-14 09:28:21,2.0,,,1.0,,,,3.0,,,,,,北京理工大学矩阵分析试题观察和往年试题，有帮助欢迎给Star，欢迎更多校友贡献资源.,,2,True,3.0,,,,,,,,,,,,,,,,,
87,Bus Interrogation Tunnel,https://github.com/YDX-2147483647/bus-interrogation-tunnel,YDX-2147483647/bus-interrogation-tunnel,cal,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57,2023-07-10 14:20:32,2023-07-10 14:20:32,10.0,2.0,,1.0,,,,2.0,,,,13.0,,BIT 班车查询接口。（bitbus）🚌.,,2,True,3.0,bus-interrogation-tunnel,1.0,1.0,https://pypi.org/project/bus-interrogation-tunnel,13.0,,,,,,,,,1.0,,,
88,Patch of BITJWC,https://github.com/fenprace/Patch-of-BITJWC,fenprace/Patch-of-BITJWC,academic,['web'],https://github.com/fenprace/Patch-of-BITJWC,GPL-3.0,2016-09-21 01:56:30,2017-01-11 12:46:31,2017-01-11 12:46:20,11.0,,,2.0,,,,2.0,,,,,,A script fixing bugs on the pages of jwc.bit.edu.cn.,,2,False,3.0,,,,,,,,,,,,,,,,,
89,BITLogin-Node,https://github.com/BIT-BOBH/BITLogin-Node,BIT-BOBH/BITLogin-Node,srun,['web'],https://github.com/BIT-BOBH/BITLogin-Node,,2022-08-18 16:30:25,2022-08-18 16:31:04,2022-08-18 16:29:37,8.0,,,,,,,2.0,,,,,,北理工统一身份验证第三方接入的NodeJS实现.,,2,True,3.0,,,,,,,,,,,,,,,,,
90,detect-BITOJ,https://github.com/YDX-2147483647/detect-BITOJ,YDX-2147483647/detect-BITOJ,academic,['python'],https://github.com/YDX-2147483647/detect-BITOJ,,2020-12-02 11:48:22,2023-07-10 14:22:07,2023-07-10 14:22:07,32.0,1.0,2.0,2.0,,,,2.0,,,,,,探测BIT乐学OJ的保密测试用例（合法方法）.,,2,True,3.0,,,,,,,,,,,,,,,,,
91,延河课堂播放功能增强,https://github.com/OrdosX/yanhekt-tool,OrdosX/yanhekt-tool,academic,['web'],https://github.com/OrdosX/yanhekt-tool,,2021-11-04 11:36:38,2021-11-14 14:15:13,2021-11-14 14:15:07,3.0,,,1.0,,,,1.0,,,,,,延河课堂播放功能增强脚本.,,2,False,3.0,,,,,,,,,434987.0,https://greasyfork.org/scripts/434987,https://greasyfork.org/scripts/434987-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA/code/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA.user.js,40.0,20.7,,,,
92,BIT-Online-Judge,https://github.com/Lylist/BIT-Online-Judge,Lylist/BIT-Online-Judge,misc,,https://github.com/Lylist/BIT-Online-Judge,,2017-07-01 13:31:31,2017-06-17 13:57:43,2017-06-17 05:33:55,14.0,,5.0,1.0,,,,1.0,,,,,,北京理工大学在线评测系统.,3.0,2,False,3.0,,,,,,,,,,,,,,,,,
