,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,new_addition
27,Bus Interrogation Tunnel,https://github.com/YDX-2147483647/bus-interrogation-tunnel,YDX-2147483647/bus-interrogation-tunnel,tool,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57,2023-04-21 02:08:13,2023-04-21 02:08:13,9.0,9.0,,1.0,,,,2.0,,,,21.0,,BIT 班车查询接口。（bitbus）🚌.,,4,True,3,bus-interrogation-tunnel,https://pypi.org/project/bus-interrogation-tunnel,21.0,,,
28,未来精工生存指南,https://bitft-wiki.vercel.app,TT2TER/BITFTechWiki,website,,https://github.com/TT2TER/BITFTechWiki,GPL-3.0,2022-08-19 07:42:24,2022-09-02 13:50:20,2022-09-02 02:02:09,30.0,,1.0,1.0,,,,,,,,,,北理工未来精工技术学院生存指南.,,4,True,3,,,,tt29294/BITFTechWiki,https://gitee.com/api/v5/repos/tt29294/BITFTechWiki,
29,北京理工大学计算机学院视觉形象系统,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,BITCS1958/BITCS-Visual-image-recognition-system,misc,,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,,2019-06-02 12:58:52,2019-06-03 14:54:45,2019-06-03 14:53:36,3.0,,7.0,1.0,,,,17.0,,,,,,北京理工大学计算机学院视觉形象系统.,,3,False,3,,,,,,
30,CTFd-owl,https://github.com/BIT-NSC/CTFd-owl,BIT-NSC/CTFd-owl,misc,"['python', 'web']",https://github.com/BIT-NSC/CTFd-owl,Apache-2.0,2022-03-26 06:58:14,2022-03-26 14:08:47,2022-03-26 14:08:34,2.0,,,,,1.0,1.0,7.0,,,,,,Dynamic Check Challenges with docker-compose for CTFd V3.4.0+.,,3,False,3,,,,,,
31,BIT-Thesis-Bachelor,https://github.com/wanicca/BIT-Thesis-Bachelor,wanicca/BIT-Thesis-Bachelor,template,['latex'],https://github.com/wanicca/BIT-Thesis-Bachelor,,2019-04-21 16:55:31,2019-05-10 10:52:47,2019-05-10 10:52:09,8.0,,1.0,,,,,5.0,,,,,,LaTex thesis template for BIT students.,,3,False,3,,,,,,
32,bit-srun-cli,https://github.com/fangli-li/bit-srun-cli,fangli-li/bit-srun-cli,tool,['python'],https://github.com/fangli-li/bit-srun-cli,MIT,2020-11-14 16:49:11,2020-11-15 18:57:13,2020-11-15 18:57:03,4.0,,1.0,2.0,,,,4.0,,,,17.0,,"北理工校园网登录客户端,使用pip安装.",2.0,3,False,3,srun-bit,https://pypi.org/project/srun-bit,17.0,,,
33,BIT_TechRep_CN,https://github.com/yuzhangbit/BIT_TechRep_CN,yuzhangbit/BIT_TechRep_CN,template,['latex'],https://github.com/yuzhangbit/BIT_TechRep_CN,,2016-03-19 20:47:20,2016-09-29 04:55:30,2016-09-29 04:55:30,21.0,,3.0,2.0,1.0,,,3.0,,,,,,A technique report latex template for BIT.,2.0,3,False,3,,,,,,
34,HowMuch,https://github.com/RaulWei/HowMuch,RaulWei/HowMuch,tool,"['python', 'web']",https://github.com/RaulWei/HowMuch,,2015-06-07 11:43:54,2015-08-03 12:03:24,2015-08-03 12:03:23,168.0,,1.0,2.0,1.0,,,,,,,,,北京理工大学研究生教务处机器人.,2.0,3,False,3,,,,,,
35,北京理工大学大学生职业发展协会综合签到系统,http://signsys.zhbitscda.com/,zhbitscda/SCDA_signsys_latest,website,,https://github.com/zhbitscda/SCDA_signsys_latest,,2017-04-21 05:07:05,2017-04-27 18:45:21,2017-04-27 18:45:20,9.0,,,7.0,,,,,,,,,,北京理工大学大学生职业发展协会综合签到系统.,,3,False,3,,,,,,
36,BIT_Thesis,https://github.com/zhang-datou/BIT_Thesis,zhang-datou/BIT_Thesis,template,['latex'],https://github.com/zhang-datou/BIT_Thesis,,2016-11-16 07:39:22,2020-05-03 02:12:21,2020-05-03 02:12:20,14.0,,10.0,1.0,2.0,1.0,,12.0,,,,,,北京理工大学硕士毕业论文word和latex模板.,2.0,2,False,3,,,,,,
37,FDUZS/BIThesis,https://github.com/FDUZS/BIThesis,FDUZS/BIThesis,template,['latex'],https://github.com/FDUZS/BIThesis,LPPL-1.3c,2020-09-11 10:33:19,2022-11-25 13:21:28,2022-11-25 13:21:16,20.0,,,2.0,,,1.0,6.0,,,,,,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方.,,2,True,3,,,,,,
38,片上系统设计,https://github.com/silenuszhi/SoC_Design_Archive,silenuszhi/SoC_Design_Archive,exp,['hdl'],https://github.com/silenuszhi/SoC_Design_Archive,,2021-09-22 02:50:32,2021-09-26 07:15:48,2021-09-26 07:15:48,5.0,,1.0,2.0,,,,4.0,,,,,,"Archive for scripts, codes, slides in the class.",,2,False,3,,,,,,
39,BIT WebVPN URL 双向转换器（浏览器扩展）,https://addons.mozilla.org/zh-CN/firefox/addon/bit-webvpn-converter/,YDX-2147483647/bit-webvpn-converter-web-extension,tool,['Web'],https://github.com/YDX-2147483647/bit-webvpn-converter-web-extension,,2022-11-12 13:43:24,2023-04-11 15:48:08,2023-04-11 15:48:08,17.0,3.0,,1.0,,1.0,,,,,,,,BIT WebVPN URL 双向转换器。 （浏览器扩展）.,,2,True,3,,,,,,
40,AutoBook,,,tool,['java'],,GPL-3.0,2021-12-02 00:28:26,2023-01-16 19:37:52,,,,0.0,2.0,,,,3.0,,,,,,自动预约北理工图书馆自习室的脚本（由于网站更新，光速失效）.,,1,False,3,,,,guang-ming-fu/auto-book,https://gitee.com/api/v5/repos/guang-ming-fu/auto-book,True
41,BIT-thesis-template,https://github.com/PolarLion/BIT-thesis-template,PolarLion/BIT-thesis-template,template,['latex'],https://github.com/PolarLion/BIT-thesis-template,,2022-10-02 07:42:39,2022-10-03 05:35:54,2022-10-03 05:35:54,13.0,,,1.0,,,,1.0,,,,,,北京理工大学研究生毕业论文无bug模板-template for graduate thesis of Beijing Institute of Technology (No bug ver.).,,1,True,3,,,,,,
